attribute,group,count,positives,auc,recall,fpr
race,AfricanAmerican,3866,432,0.6827631905347398,0.19212962962962962,0.058532323820617356
race,Asian,123,10,0.5761061946902655,0.1,0.05309734513274336
race,Caucasian,15223,1717,0.6872884037560993,0.20617355853232383,0.06056567451503036
race,Hispanic,404,50,0.7676836158192091,0.24,0.05649717514124294
race,Other,276,20,0.6898437500000001,0.15,0.03515625
gender,Female,10924,1255,0.6905888906881524,0.20637450199203186,0.05884786430861516
gender,Male,9430,1016,0.6839541661909565,0.1919291338582677,0.05823627287853577
age,[0-10),34,0,,,0.0
age,[10-20),130,6,0.803763440860215,0.0,0.008064516129032258
age,[20-30),324,43,0.8360506496730944,0.5348837209302325,0.12099644128113879
age,[30-40),725,78,0.708397733127254,0.28205128205128205,0.08346213292117466
age,[40-50),1913,188,0.7450292938637064,0.26063829787234044,0.0655072463768116
age,[50-60),3457,301,0.7177985085625018,0.2558139534883721,0.05354879594423321
age,[60-70),4547,529,0.6630568867318241,0.16824196597353497,0.05574912891986063
age,[70-80),5234,628,0.657288955696115,0.19745222929936307,0.06578376031263569
age,[80-90),3414,424,0.6596276109042721,0.14386792452830188,0.05016722408026756
age,[90-100),576,74,0.6471680844190805,0.12162162162162163,0.021912350597609563
